"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:06:14","00:00:06:18","00:00:00:04","00:00:06:14","00:00:06:18","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"2","","","","C","","00:00:07:00","00:00:07:12","00:00:00:12","00:00:07:00","00:00:07:12","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"3","","","","C","","00:00:08:14","00:00:08:17","00:00:00:03","00:00:08:14","00:00:08:17","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"4","","","","C","","00:00:08:22","00:00:11:03","00:00:02:05","00:00:08:22","00:00:11:03","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"5","","","","C","","00:00:12:01","00:00:13:01","00:00:01:00","00:00:12:01","00:00:13:01","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"6","","","","C","","00:00:13:05","00:00:14:07","00:00:01:02","00:00:13:05","00:00:14:07","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"7","","","","C","","00:00:16:15","00:00:17:08","00:00:00:17","00:00:16:15","00:00:17:08","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"8","","","","C","","00:00:48:09","00:00:49:06","00:00:00:21","00:00:48:09","00:00:49:06","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"9","","","","C","","00:00:49:07","00:00:49:21","00:00:00:14","00:00:49:07","00:00:49:21","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"10","","","","C","","00:00:50:12","00:00:51:21","00:00:01:09","00:00:50:12","00:00:51:21","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"11","","","","C","","00:00:53:11","00:00:55:00","00:00:01:13","00:00:53:11","00:00:55:00","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"12","","","","C","","00:00:55:11","00:00:55:16","00:00:00:05","00:00:55:11","00:00:55:16","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"13","","","","C","","00:00:57:03","00:00:57:20","00:00:00:17","00:00:57:03","00:00:57:20","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"14","","","","C","","00:00:59:01","00:00:59:13","00:00:00:12","00:00:59:01","00:00:59:13","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"15","","","","C","","00:01:02:19","00:01:03:01","00:00:00:06","00:01:02:19","00:01:03:01","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"16","","","","C","","00:01:04:03","00:01:06:08","00:00:02:05","00:01:04:03","00:01:06:08","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
