"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:19:21","00:00:20:06","00:00:00:09","00:00:19:21","00:00:20:06","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"2","","","","C","","00:00:30:08","00:00:30:20","00:00:00:12","00:00:30:08","00:00:30:20","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"3","","","","C","","00:00:38:11","00:00:38:16","00:00:00:05","00:00:38:11","00:00:38:16","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"4","","","","C","","00:00:42:06","00:00:42:18","00:00:00:12","00:00:42:06","00:00:42:18","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"5","","","","C","","00:00:43:23","00:00:44:04","00:00:00:05","00:00:43:23","00:00:44:04","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
