"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:09:23","00:00:12:12","00:00:02:13","00:00:09:23","00:00:12:12","","","","","","","0.000","","Blue","Στήλη","",""
"2","","","","C","","00:00:12:13","00:00:16:11","00:00:03:22","00:00:12:13","00:00:16:11","","","","","","","0.000","","Blue","Αέτωμα","",""
"3","","","","C","","00:00:17:10","00:00:20:04","00:00:02:18","00:00:17:10","00:00:20:04","","","","","","","0.000","","Blue","Πάνω δεξιά γωνία","",""
"4","","","","C","","00:00:20:06","00:00:22:08","00:00:02:02","00:00:20:06","00:00:22:08","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"5","","","","C","","00:00:25:16","00:00:35:19","00:00:10:03","00:00:25:16","00:00:35:19","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"6","","","","C","","00:00:36:14","00:00:46:06","00:00:09:16","00:00:36:14","00:00:46:06","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"7","","","","C","","00:00:47:03","00:00:56:17","00:00:09:14","00:00:47:03","00:00:56:17","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
