"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:01:21","00:00:02:17","00:00:00:20","00:00:01:21","00:00:02:17","","","","","","","0.000","","Blue","Πανωφόρι","",""
"2","","","","C","","00:00:03:17","00:00:04:12","00:00:00:19","00:00:03:17","00:00:04:12","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"3","","","","C","","00:00:04:15","00:00:04:20","00:00:00:05","00:00:04:15","00:00:04:20","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"4","","","","C","","00:00:04:23","00:00:05:08","00:00:00:09","00:00:04:23","00:00:05:08","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"5","","","","C","","00:00:05:11","00:00:05:13","00:00:00:02","00:00:05:11","00:00:05:13","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"6","","","","C","","00:00:05:16","00:00:07:16","00:00:02:00","00:00:05:16","00:00:07:16","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"7","","","","C","","00:00:08:14","00:00:09:10","00:00:00:20","00:00:08:14","00:00:09:10","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"8","","","","C","","00:00:09:09","00:00:09:23","00:00:00:14","00:00:09:09","00:00:09:23","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"9","","","","C","","00:00:10:08","00:00:10:22","00:00:00:14","00:00:10:08","00:00:10:22","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"10","","","","C","","00:00:11:00","00:00:11:08","00:00:00:08","00:00:11:00","00:00:11:08","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"11","","","","C","","00:00:11:18","00:00:12:10","00:00:00:16","00:00:11:18","00:00:12:10","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"12","","","","C","","00:00:12:14","00:00:12:15","00:00:00:01","00:00:12:14","00:00:12:15","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"13","","","","C","","00:00:12:17","00:00:13:01","00:00:00:08","00:00:12:17","00:00:13:01","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"14","","","","C","","00:00:13:03","00:00:13:07","00:00:00:04","00:00:13:03","00:00:13:07","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"15","","","","C","","00:00:13:12","00:00:13:13","00:00:00:01","00:00:13:12","00:00:13:13","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"16","","","","C","","00:00:13:17","00:00:13:18","00:00:00:01","00:00:13:17","00:00:13:18","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"17","","","","C","","00:00:14:12","00:00:15:08","00:00:00:20","00:00:14:12","00:00:15:08","","","","","","","0.000","","Blue","Πανωφόρι","",""
"18","","","","C","","00:00:15:12","00:00:15:13","00:00:00:01","00:00:15:12","00:00:15:13","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"19","","","","C","","00:00:15:16","00:00:16:02","00:00:00:10","00:00:15:16","00:00:16:02","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"20","","","","C","","00:00:16:05","00:00:16:17","00:00:00:12","00:00:16:05","00:00:16:17","","","","","","","0.000","","Blue","Πανωφόρι","",""
"21","","","","C","","00:00:17:00","00:00:17:08","00:00:00:08","00:00:17:00","00:00:17:08","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"22","","","","C","","00:00:17:11","00:00:17:20","00:00:00:09","00:00:17:11","00:00:17:20","","","","","","","0.000","","Blue","Πανωφόρι","",""
"23","","","","C","","00:00:18:19","00:00:19:22","00:00:01:03","00:00:18:19","00:00:19:22","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
