"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:00","00:00:00:07","00:00:00:07","00:00:00:00","00:00:00:07","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"2","","","","C","","00:00:00:09","00:00:00:15","00:00:00:06","00:00:00:09","00:00:00:15","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"3","","","","C","","00:00:01:05","00:00:02:17","00:00:01:12","00:00:01:05","00:00:02:17","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"4","","","","C","","00:00:02:18","00:00:03:04","00:00:00:10","00:00:02:18","00:00:03:04","","","","","","","0.000","","Blue","Marker 4","",""
"5","","","","C","","00:00:03:05","00:00:04:17","00:00:01:12","00:00:03:05","00:00:04:17","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"6","","","","C","","00:00:05:00","00:00:05:17","00:00:00:17","00:00:05:00","00:00:05:17","","","","","","","0.000","","Blue","Πανωφόρι","",""
"7","","","","C","","00:00:06:00","00:00:06:21","00:00:00:21","00:00:06:00","00:00:06:21","","","","","","","0.000","","Blue","Πανωφόρι","",""
"8","","","","C","","00:00:07:05","00:00:08:03","00:00:00:22","00:00:07:05","00:00:08:03","","","","","","","0.000","","Blue","Πανωφόρι","",""
"9","","","","C","","00:00:09:04","00:00:10:03","00:00:00:23","00:00:09:04","00:00:10:03","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"10","","","","C","","00:00:10:05","00:00:10:16","00:00:00:11","00:00:10:05","00:00:10:16","","","","","","","0.000","","Blue","Πανωφόρι","",""
"11","","","","C","","00:00:11:10","00:00:12:17","00:00:01:07","00:00:11:10","00:00:12:17","","","","","","","0.000","","Blue","Πανωφόρι","",""
"12","","","","C","","00:00:12:19","00:00:14:12","00:00:01:17","00:00:12:19","00:00:14:12","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"13","","","","C","","00:00:14:16","00:00:16:00","00:00:01:08","00:00:14:16","00:00:16:00","","","","","","","0.000","","Blue","Πανωφόρι","",""
"14","","","","C","","00:00:16:00","00:00:18:14","00:00:02:14","00:00:16:00","00:00:18:14","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"15","","","","C","","00:00:18:17","00:00:18:22","00:00:00:05","00:00:18:17","00:00:18:22","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"16","","","","C","","00:00:19:01","00:00:20:13","00:00:01:12","00:00:19:01","00:00:20:13","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"17","","","","C","","00:00:20:16","00:00:20:23","00:00:00:07","00:00:20:16","00:00:20:23","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"18","","","","C","","00:00:21:01","00:00:25:10","00:00:04:09","00:00:21:01","00:00:25:10","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"19","","","","C","","00:00:25:12","00:00:25:15","00:00:00:03","00:00:25:12","00:00:25:15","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"20","","","","C","","00:00:25:14","00:00:26:08","00:00:00:18","00:00:25:14","00:00:26:08","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"21","","","","C","","00:00:26:14","00:00:28:01","00:00:01:11","00:00:26:14","00:00:28:01","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"22","","","","C","","00:00:28:05","00:00:29:10","00:00:01:05","00:00:28:05","00:00:29:10","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"23","","","","C","","00:00:29:12","00:00:30:07","00:00:00:19","00:00:29:12","00:00:30:07","","","","","","","0.000","","Blue","Πανωφόρι","",""
"24","","","","C","","00:00:30:08","00:00:31:22","00:00:01:14","00:00:30:08","00:00:31:22","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"25","","","","C","","00:00:31:21","00:00:32:07","00:00:00:10","00:00:31:21","00:00:32:07","","","","","","","0.000","","Blue","Πανωφόρι","",""
"26","","","","C","","00:00:32:10","00:00:33:01","00:00:00:15","00:00:32:10","00:00:33:01","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"27","","","","C","","00:00:33:03","00:00:34:03","00:00:01:00","00:00:33:03","00:00:34:03","","","","","","","0.000","","Blue","Πανωφόρι","",""
"28","","","","C","","00:00:34:08","00:00:35:00","00:00:00:16","00:00:34:08","00:00:35:00","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"29","","","","C","","00:00:35:05","00:00:35:23","00:00:00:18","00:00:35:05","00:00:35:23","","","","","","","0.000","","Blue","Πανωφόρι","",""
"30","","","","C","","00:00:36:01","00:00:36:17","00:00:00:16","00:00:36:01","00:00:36:17","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"31","","","","C","","00:00:36:19","00:00:36:20","00:00:00:01","00:00:36:19","00:00:36:20","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"32","","","","C","","00:00:36:22","00:00:37:05","00:00:00:07","00:00:36:22","00:00:37:05","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"33","","","","C","","00:00:37:11","00:00:39:06","00:00:01:19","00:00:37:11","00:00:39:06","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"34","","","","C","","00:00:39:09","00:00:39:18","00:00:00:09","00:00:39:09","00:00:39:18","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"35","","","","C","","00:00:39:22","00:00:41:08","00:00:01:10","00:00:39:22","00:00:41:08","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"36","","","","C","","00:00:41:10","00:00:42:15","00:00:01:05","00:00:41:10","00:00:42:15","","","","","","","0.000","","Blue","Marker 36","",""
"37","","","","C","","00:00:42:18","00:00:45:01","00:00:02:07","00:00:42:18","00:00:45:01","","","","","","","0.000","","Blue","Πανωφόρι","",""
"38","","","","C","","00:00:45:03","00:00:46:08","00:00:01:05","00:00:45:03","00:00:46:08","","","","","","","0.000","","Blue","Πανωφόρι","",""
"39","","","","C","","00:00:46:11","00:00:46:18","00:00:00:07","00:00:46:11","00:00:46:18","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"40","","","","C","","00:00:46:21","00:00:48:09","00:00:01:12","00:00:46:21","00:00:48:09","","","","","","","0.000","","Blue","Πανωφόρι","",""
"41","","","","C","","00:00:48:18","00:00:49:18","00:00:01:00","00:00:48:18","00:00:49:18","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"42","","","","C","","00:00:49:23","00:00:50:09","00:00:00:10","00:00:49:23","00:00:50:09","","","","","","","0.000","","Blue","Πανωφόρι","",""
"43","","","","C","","00:00:50:15","00:00:51:13","00:00:00:22","00:00:50:15","00:00:51:13","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"44","","","","C","","00:00:51:15","00:00:52:03","00:00:00:12","00:00:51:15","00:00:52:03","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"45","","","","C","","00:00:52:08","00:00:52:13","00:00:00:05","00:00:52:08","00:00:52:13","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"46","","","","C","","00:00:52:15","00:00:53:04","00:00:00:13","00:00:52:15","00:00:53:04","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"47","","","","C","","00:00:53:09","00:00:53:14","00:00:00:05","00:00:53:09","00:00:53:14","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"48","","","","C","","00:00:53:17","00:00:55:08","00:00:01:15","00:00:53:17","00:00:55:08","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"49","","","","C","","00:00:55:11","00:00:55:22","00:00:00:11","00:00:55:11","00:00:55:22","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"50","","","","C","","00:00:56:15","00:00:58:11","00:00:01:20","00:00:56:15","00:00:58:11","","","","","","","0.000","","Blue","Πανωφόρι","",""
"51","","","","C","","00:00:58:14","00:00:59:14","00:00:01:00","00:00:58:14","00:00:59:14","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"52","","","","C","","00:00:59:17","00:01:00:00","00:00:00:07","00:00:59:17","00:01:00:00","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"53","","","","C","","00:01:00:01","00:01:00:16","00:00:00:15","00:01:00:01","00:01:00:16","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"54","","","","C","","00:01:01:00","00:01:01:04","00:00:00:04","00:01:01:00","00:01:01:04","","","","","","","0.000","","Blue","Marker 54","",""
"55","","","","C","","00:01:01:05","00:01:02:01","00:00:00:20","00:01:01:05","00:01:02:01","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"56","","","","C","","00:01:02:03","00:01:02:15","00:00:00:12","00:01:02:03","00:01:02:15","","","","","","","0.000","","Blue","Πανωφόρι","",""
"57","","","","C","","00:01:02:22","00:01:03:06","00:00:00:08","00:01:02:22","00:01:03:06","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"58","","","","C","","00:01:03:14","00:01:05:15","00:00:02:01","00:01:03:14","00:01:05:15","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"59","","","","C","","00:01:05:16","00:01:06:17","00:00:01:01","00:01:05:16","00:01:06:17","","","","","","","0.000","","Blue","Πανωφόρι","",""
