"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:00","00:00:00:17","00:00:00:17","00:00:00:00","00:00:00:17","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"2","","","","C","","00:00:01:02","00:00:06:10","00:00:05:08","00:00:01:02","00:00:06:10","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"3","","","","C","","00:00:06:15","00:00:06:22","00:00:00:07","00:00:06:15","00:00:06:22","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"4","","","","C","","00:00:07:09","00:00:07:17","00:00:00:08","00:00:07:09","00:00:07:17","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"5","","","","C","","00:00:11:09","00:00:12:01","00:00:00:16","00:00:11:09","00:00:12:01","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"6","","","","C","","00:00:12:20","00:00:13:03","00:00:00:07","00:00:12:20","00:00:13:03","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"7","","","","C","","00:00:13:21","00:00:13:22","00:00:00:01","00:00:13:21","00:00:13:22","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"8","","","","C","","00:00:15:06","00:00:18:21","00:00:03:15","00:00:15:06","00:00:18:21","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"9","","","","C","","00:00:19:20","00:00:21:05","00:00:01:09","00:00:19:20","00:00:21:05","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"10","","","","C","","00:00:21:16","00:00:23:01","00:00:01:09","00:00:21:16","00:00:23:01","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"11","","","","C","","00:00:24:07","00:00:29:18","00:00:05:11","00:00:24:07","00:00:29:18","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"12","","","","C","","00:00:33:12","00:00:34:01","00:00:00:13","00:00:33:12","00:00:34:01","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"13","","","","C","","00:00:34:21","00:00:43:02","00:00:08:05","00:00:34:21","00:00:43:02","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"14","","","","C","","00:00:44:09","00:00:53:07","00:00:08:22","00:00:44:09","00:00:53:07","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"15","","","","C","","00:00:54:14","00:00:55:13","00:00:00:23","00:00:54:14","00:00:55:13","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"16","","","","C","","00:00:56:14","00:01:02:12","00:00:05:22","00:00:56:14","00:01:02:12","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
