"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:11","00:00:02:06","00:00:01:25","00:00:00:11","00:00:02:06","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"2","","","","C","","00:00:03:08","00:00:05:03","00:00:01:25","00:00:03:08","00:00:05:03","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"3","","","","C","","00:00:06:18","00:00:06:27","00:00:00:09","00:00:06:18","00:00:06:27","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"4","","","","C","","00:00:08:04","00:00:08:08","00:00:00:04","00:00:08:04","00:00:08:08","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"5","","","","C","","00:00:08:19","00:00:09:06","00:00:00:17","00:00:08:19","00:00:09:06","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"6","","","","C","","00:00:09:24","00:00:10:20","00:00:00:26","00:00:09:24","00:00:10:20","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"7","","","","C","","00:00:11:19","00:00:12:02","00:00:00:13","00:00:11:19","00:00:12:02","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"8","","","","C","","00:00:14:04","00:00:14:17","00:00:00:13","00:00:14:04","00:00:14:17","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"9","","","","C","","00:00:15:05","00:00:15:17","00:00:00:12","00:00:15:05","00:00:15:17","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"10","","","","C","","00:00:15:28","00:00:16:16","00:00:00:18","00:00:15:28","00:00:16:16","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"11","","","","C","","00:00:16:19","00:00:17:04","00:00:00:15","00:00:16:19","00:00:17:04","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"12","","","","C","","00:00:17:06","00:00:17:24","00:00:00:18","00:00:17:06","00:00:17:24","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"13","","","","C","","00:00:17:29","00:00:19:00","00:00:01:01","00:00:17:29","00:00:19:00","","","","","","","0.000","","Blue","Πανωφόρι","",""
"14","","","","C","","00:00:19:02","00:00:19:13","00:00:00:11","00:00:19:02","00:00:19:13","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"15","","","","C","","00:00:19:16","00:00:20:04","00:00:00:18","00:00:19:16","00:00:20:04","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"16","","","","C","","00:00:21:14","00:00:22:19","00:00:01:05","00:00:21:14","00:00:22:19","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"17","","","","C","","00:00:22:23","00:00:23:01","00:00:00:08","00:00:22:23","00:00:23:01","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"18","","","","C","","00:00:23:06","00:00:24:17","00:00:01:11","00:00:23:06","00:00:24:17","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"19","","","","C","","00:00:25:17","00:00:26:11","00:00:00:24","00:00:25:17","00:00:26:11","","","","","","","0.000","","Blue","Πανωφόρι","",""
"20","","","","C","","00:00:26:14","00:00:28:21","00:00:02:07","00:00:26:14","00:00:28:21","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"21","","","","C","","00:00:28:24","00:00:29:11","00:00:00:17","00:00:28:24","00:00:29:11","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"22","","","","C","","00:00:29:15","00:00:29:19","00:00:00:04","00:00:29:15","00:00:29:19","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"23","","","","C","","00:00:29:21","00:00:30:04","00:00:00:13","00:00:29:21","00:00:30:04","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"24","","","","C","","00:00:30:06","00:00:30:17","00:00:00:11","00:00:30:06","00:00:30:17","","","","","","","0.000","","Blue","Πανωφόρι","",""
"25","","","","C","","00:00:30:19","00:00:32:11","00:00:01:22","00:00:30:19","00:00:32:11","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"26","","","","C","","00:00:33:21","00:00:34:28","00:00:01:07","00:00:33:21","00:00:34:28","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"27","","","","C","","00:00:34:27","00:00:35:08","00:00:00:11","00:00:34:27","00:00:35:08","","","","","","","0.000","","Blue","Πανωφόρι","",""
"28","","","","C","","00:00:35:08","00:00:35:17","00:00:00:09","00:00:35:08","00:00:35:17","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"29","","","","C","","00:00:35:21","00:00:43:14","00:00:07:23","00:00:35:21","00:00:43:14","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"30","","","","C","","00:00:43:14","00:00:43:24","00:00:00:10","00:00:43:14","00:00:43:24","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"31","","","","C","","00:00:43:27","00:00:44:15","00:00:00:18","00:00:43:27","00:00:44:15","","","","","","","0.000","","Blue","Πανωφόρι","",""
"32","","","","C","","00:00:44:22","00:00:44:27","00:00:00:05","00:00:44:22","00:00:44:27","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"33","","","","C","","00:00:44:29","00:00:46:29","00:00:02:00","00:00:44:29","00:00:46:29","","","","","","","0.000","","Blue","Πανωφόρι","",""
"34","","","","C","","00:00:46:28","00:00:47:05","00:00:00:07","00:00:46:28","00:00:47:05","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"35","","","","C","","00:00:47:12","00:00:49:04","00:00:01:22","00:00:47:12","00:00:49:04","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"36","","","","C","","00:00:49:04","00:00:55:00","00:00:05:26","00:00:49:04","00:00:55:00","","","","","","","0.000","","Blue","Πανωφόρι","",""
"37","","","","C","","00:00:55:02","00:00:55:14","00:00:00:12","00:00:55:02","00:00:55:14","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"38","","","","C","","00:00:55:22","00:00:56:15","00:00:00:23","00:00:55:22","00:00:56:15","","","","","","","0.000","","Blue","Πανωφόρι","",""
"39","","","","C","","00:00:57:08","00:00:58:05","00:00:00:27","00:00:57:08","00:00:58:05","","","","","","","0.000","","Blue","Πανωφόρι","",""
