"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:01:00","00:00:01:01","00:00:00:01","00:00:01:00","00:00:01:01","","","","","","","0.000","","Blue","Ερμής","",""
"2","","","","C","","00:00:01:03","00:00:01:04","00:00:00:01","00:00:01:03","00:00:01:04","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"3","","","","C","","00:00:01:14","00:00:02:13","00:00:00:17","00:00:01:14","00:00:02:13","","","","","","","0.000","","Blue","Ερμής","",""
"4","","","","C","","00:00:02:15","00:00:03:03","00:00:00:06","00:00:02:15","00:00:03:03","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"5","","","","C","","00:00:06:11","00:00:06:12","00:00:00:01","00:00:06:11","00:00:06:12","","","","","","","0.000","","Blue","Ερμής","",""
"6","","","","C","","00:00:06:15","00:00:07:05","00:00:00:08","00:00:06:15","00:00:07:05","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"7","","","","C","","00:00:08:14","00:00:09:06","00:00:00:10","00:00:08:14","00:00:09:06","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"8","","","","C","","00:00:09:10","00:00:09:16","00:00:00:06","00:00:09:10","00:00:09:16","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"9","","","","C","","00:00:12:00","00:00:12:13","00:00:00:13","00:00:12:00","00:00:12:13","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"10","","","","C","","00:00:13:07","00:00:13:14","00:00:00:07","00:00:13:07","00:00:13:14","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"11","","","","C","","00:00:14:03","00:00:14:07","00:00:00:04","00:00:14:03","00:00:14:07","","","","","","","0.000","","Blue","Ερμής","",""
"12","","","","C","","00:00:14:10","00:00:15:16","00:00:01:06","00:00:14:10","00:00:15:16","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"13","","","","C","","00:00:16:06","00:00:16:10","00:00:00:04","00:00:16:06","00:00:16:10","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"14","","","","C","","00:00:18:14","00:00:19:01","00:00:00:05","00:00:18:14","00:00:19:01","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"15","","","","C","","00:00:19:04","00:00:19:15","00:00:00:11","00:00:19:04","00:00:19:15","","","","","","","0.000","","Blue","Ερμής","",""
"16","","","","C","","00:00:22:00","00:00:22:05","00:00:00:05","00:00:22:00","00:00:22:05","","","","","","","0.000","","Blue","Ερμής","",""
"17","","","","C","","00:00:22:10","00:00:22:16","00:00:00:06","00:00:22:10","00:00:22:16","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"18","","","","C","","00:00:23:05","00:00:24:00","00:00:00:13","00:00:23:05","00:00:24:00","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
