"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:00","00:00:07:02","00:00:07:02","00:00:00:00","00:00:07:02","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"2","","","","C","","00:00:08:15","00:00:12:00","00:00:03:09","00:00:08:15","00:00:12:00","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"3","","","","C","","00:00:12:04","00:00:12:22","00:00:00:18","00:00:12:04","00:00:12:22","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"4","","","","C","","00:00:13:00","00:00:16:08","00:00:03:08","00:00:13:00","00:00:16:08","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"5","","","","C","","00:00:16:14","00:00:17:06","00:00:00:16","00:00:16:14","00:00:17:06","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"6","","","","C","","00:00:17:09","00:00:18:02","00:00:00:17","00:00:17:09","00:00:18:02","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"7","","","","C","","00:00:19:14","00:00:21:17","00:00:02:03","00:00:19:14","00:00:21:17","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"8","","","","C","","00:00:21:20","00:00:22:05","00:00:00:09","00:00:21:20","00:00:22:05","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"9","","","","C","","00:00:22:08","00:00:28:04","00:00:05:20","00:00:22:08","00:00:28:04","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"10","","","","C","","00:00:28:17","00:00:29:18","00:00:01:01","00:00:28:17","00:00:29:18","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"11","","","","C","","00:00:29:22","00:00:30:07","00:00:00:09","00:00:29:22","00:00:30:07","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"12","","","","C","","00:00:30:10","00:00:31:07","00:00:00:21","00:00:30:10","00:00:31:07","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"13","","","","C","","00:00:31:23","00:00:32:10","00:00:00:11","00:00:31:23","00:00:32:10","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"14","","","","C","","00:00:32:15","00:00:33:00","00:00:00:09","00:00:32:15","00:00:33:00","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"15","","","","C","","00:00:33:08","00:00:33:19","00:00:00:11","00:00:33:08","00:00:33:19","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"16","","","","C","","00:00:34:04","00:00:34:16","00:00:00:12","00:00:34:04","00:00:34:16","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"17","","","","C","","00:00:35:16","00:00:59:10","00:00:23:18","00:00:35:16","00:00:59:10","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"18","","","","C","","00:01:00:13","00:01:02:03","00:00:01:14","00:01:00:13","00:01:02:03","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
