"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:17","00:00:00:26","00:00:00:09","00:00:00:17","00:00:00:26","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"2","","","","C","","00:00:01:06","00:00:01:16","00:00:00:10","00:00:01:06","00:00:01:16","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"3","","","","C","","00:00:02:19","00:00:03:18","00:00:00:29","00:00:02:19","00:00:03:18","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"4","","","","C","","00:00:03:24","00:00:03:25","00:00:00:01","00:00:03:24","00:00:03:25","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"5","","","","C","","00:00:04:00","00:00:04:01","00:00:00:01","00:00:04:00","00:00:04:01","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"6","","","","C","","00:00:04:09","00:00:09:13","00:00:05:04","00:00:04:09","00:00:09:13","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"7","","","","C","","00:00:09:19","00:00:09:25","00:00:00:06","00:00:09:19","00:00:09:25","","","","","","","0.000","","Blue","Marker 7","",""
"8","","","","C","","00:00:09:29","00:00:11:10","00:00:01:11","00:00:09:29","00:00:11:10","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"9","","","","C","","00:00:11:14","00:00:11:15","00:00:00:01","00:00:11:14","00:00:11:15","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"10","","","","C","","00:00:11:21","00:00:17:10","00:00:05:19","00:00:11:21","00:00:17:10","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"11","","","","C","","00:00:17:18","00:00:17:28","00:00:00:10","00:00:17:18","00:00:17:28","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"12","","","","C","","00:00:18:19","00:00:18:28","00:00:00:09","00:00:18:19","00:00:18:28","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"13","","","","C","","00:00:19:02","00:00:19:06","00:00:00:04","00:00:19:02","00:00:19:06","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"14","","","","C","","00:00:20:25","00:00:20:29","00:00:00:04","00:00:20:25","00:00:20:29","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"15","","","","C","","00:00:21:04","00:00:21:12","00:00:00:08","00:00:21:04","00:00:21:12","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"16","","","","C","","00:00:21:17","00:00:22:11","00:00:00:24","00:00:21:17","00:00:22:11","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"17","","","","C","","00:00:22:13","00:00:23:11","00:00:00:28","00:00:22:13","00:00:23:11","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"18","","","","C","","00:00:23:17","00:00:23:23","00:00:00:06","00:00:23:17","00:00:23:23","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"19","","","","C","","00:00:23:27","00:00:24:03","00:00:00:06","00:00:23:27","00:00:24:03","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"20","","","","C","","00:00:24:02","00:00:24:10","00:00:00:08","00:00:24:02","00:00:24:10","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"21","","","","C","","00:00:24:16","00:00:24:27","00:00:00:11","00:00:24:16","00:00:24:27","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"22","","","","C","","00:00:25:01","00:00:25:04","00:00:00:03","00:00:25:01","00:00:25:04","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"23","","","","C","","00:00:25:18","00:00:26:04","00:00:00:16","00:00:25:18","00:00:26:04","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"24","","","","C","","00:00:27:03","00:00:27:10","00:00:00:07","00:00:27:03","00:00:27:10","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"25","","","","C","","00:00:30:08","00:00:31:08","00:00:01:00","00:00:30:08","00:00:31:08","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"26","","","","C","","00:00:31:20","00:00:32:13","00:00:00:23","00:00:31:20","00:00:32:13","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"27","","","","C","","00:00:33:02","00:00:33:03","00:00:00:01","00:00:33:02","00:00:33:03","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"28","","","","C","","00:00:33:05","00:00:34:17","00:00:01:12","00:00:33:05","00:00:34:17","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"29","","","","C","","00:00:35:19","00:00:35:25","00:00:00:06","00:00:35:19","00:00:35:25","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"30","","","","C","","00:00:36:20","00:00:36:26","00:00:00:06","00:00:36:20","00:00:36:26","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"31","","","","C","","00:00:44:25","00:00:45:02","00:00:00:07","00:00:44:25","00:00:45:02","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"32","","","","C","","00:01:03:00","00:01:04:29","00:00:01:29","00:01:03:00","00:01:04:29","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"33","","","","C","","00:01:05:20","00:01:06:07","00:00:00:17","00:01:05:20","00:01:06:07","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
