"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:01:02","00:00:02:13","00:00:01:11","00:00:01:02","00:00:02:13","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"2","","","","C","","00:00:02:21","00:00:03:09","00:00:00:12","00:00:02:21","00:00:03:09","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"3","","","","C","","00:00:04:00","00:00:04:21","00:00:00:21","00:00:04:00","00:00:04:21","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"4","","","","C","","00:00:05:04","00:00:06:08","00:00:01:04","00:00:05:04","00:00:06:08","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"5","","","","C","","00:00:06:12","00:00:07:07","00:00:00:19","00:00:06:12","00:00:07:07","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"6","","","","C","","00:00:07:15","00:00:13:13","00:00:05:22","00:00:07:15","00:00:13:13","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"7","","","","C","","00:00:13:17","00:00:14:05","00:00:00:12","00:00:13:17","00:00:14:05","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"8","","","","C","","00:00:14:09","00:00:17:06","00:00:02:21","00:00:14:09","00:00:17:06","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"9","","","","C","","00:00:18:13","00:00:20:05","00:00:01:16","00:00:18:13","00:00:20:05","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"10","","","","C","","00:00:20:11","00:00:20:17","00:00:00:06","00:00:20:11","00:00:20:17","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"11","","","","C","","00:00:20:16","00:00:21:02","00:00:00:10","00:00:20:16","00:00:21:02","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"12","","","","C","","00:00:21:04","00:00:21:14","00:00:00:10","00:00:21:04","00:00:21:14","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"13","","","","C","","00:00:21:16","00:00:21:22","00:00:00:06","00:00:21:16","00:00:21:22","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"14","","","","C","","00:00:22:07","00:00:24:19","00:00:02:12","00:00:22:07","00:00:24:19","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"15","","","","C","","00:00:25:01","00:00:25:22","00:00:00:21","00:00:25:01","00:00:25:22","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"16","","","","C","","00:00:26:03","00:00:31:23","00:00:05:20","00:00:26:03","00:00:31:23","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"17","","","","C","","00:00:32:08","00:00:32:23","00:00:00:15","00:00:32:08","00:00:32:23","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"18","","","","C","","00:00:34:15","00:00:39:17","00:00:05:02","00:00:34:15","00:00:39:17","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"19","","","","C","","00:00:41:03","00:00:43:20","00:00:02:17","00:00:41:03","00:00:43:20","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"20","","","","C","","00:00:44:02","00:00:50:03","00:00:06:01","00:00:44:02","00:00:50:03","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"21","","","","C","","00:00:50:10","00:00:50:19","00:00:00:09","00:00:50:10","00:00:50:19","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"22","","","","C","","00:00:50:21","00:00:51:02","00:00:00:05","00:00:50:21","00:00:51:02","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"23","","","","C","","00:00:51:11","00:00:51:23","00:00:00:12","00:00:51:11","00:00:51:23","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"24","","","","C","","00:00:52:05","00:00:54:10","00:00:02:05","00:00:52:05","00:00:54:10","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"25","","","","C","","00:00:54:14","00:00:54:21","00:00:00:07","00:00:54:14","00:00:54:21","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"26","","","","C","","00:00:55:00","00:00:55:23","00:00:00:23","00:00:55:00","00:00:55:23","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"27","","","","C","","00:00:56:01","00:00:56:22","00:00:00:21","00:00:56:01","00:00:56:22","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"28","","","","C","","00:00:57:06","00:00:58:20","00:00:01:14","00:00:57:06","00:00:58:20","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"29","","","","C","","00:00:59:05","00:01:00:04","00:00:00:23","00:00:59:05","00:01:00:04","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"30","","","","C","","00:01:00:10","00:01:01:05","00:00:00:19","00:01:00:10","00:01:01:05","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
