"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:00","00:00:03:04","00:00:03:04","00:00:00:00","00:00:03:04","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"2","","","","C","","00:00:05:16","00:00:19:20","00:00:14:04","00:00:05:16","00:00:19:20","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"3","","","","C","","00:00:21:01","00:00:21:14","00:00:00:13","00:00:21:01","00:00:21:14","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"4","","","","C","","00:00:21:18","00:00:22:03","00:00:00:09","00:00:21:18","00:00:22:03","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"5","","","","C","","00:00:22:05","00:00:23:03","00:00:00:22","00:00:22:05","00:00:23:03","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"6","","","","C","","00:00:23:16","00:00:28:14","00:00:04:22","00:00:23:16","00:00:28:14","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"7","","","","C","","00:00:28:20","00:00:29:00","00:00:00:04","00:00:28:20","00:00:29:00","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"8","","","","C","","00:00:29:10","00:00:37:09","00:00:07:23","00:00:29:10","00:00:37:09","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"9","","","","C","","00:00:37:18","00:00:45:23","00:00:08:05","00:00:37:18","00:00:45:23","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"10","","","","C","","00:00:47:02","00:01:04:07","00:00:17:05","00:00:47:02","00:01:04:07","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"11","","","","C","","00:01:05:01","00:01:06:12","00:00:01:11","00:01:05:01","00:01:06:12","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
