"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:01:07","00:00:01:14","00:00:00:07","00:00:01:07","00:00:01:14","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"2","","","","C","","00:00:01:15","00:00:01:21","00:00:00:06","00:00:01:15","00:00:01:21","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"3","","","","C","","00:00:01:22","00:00:04:22","00:00:03:00","00:00:01:22","00:00:04:22","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"4","","","","C","","00:00:05:11","00:00:05:19","00:00:00:08","00:00:05:11","00:00:05:19","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"5","","","","C","","00:00:05:20","00:00:12:12","00:00:06:16","00:00:05:20","00:00:12:12","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"6","","","","C","","00:00:13:03","00:00:20:12","00:00:07:09","00:00:13:03","00:00:20:12","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"7","","","","C","","00:00:21:11","00:00:21:18","00:00:00:07","00:00:21:11","00:00:21:18","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"8","","","","C","","00:00:21:19","00:00:22:06","00:00:00:11","00:00:21:19","00:00:22:06","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"9","","","","C","","00:00:23:09","00:00:23:14","00:00:00:05","00:00:23:09","00:00:23:14","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"10","","","","C","","00:00:23:17","00:00:25:08","00:00:01:15","00:00:23:17","00:00:25:08","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"11","","","","C","","00:00:26:16","00:00:27:00","00:00:00:08","00:00:26:16","00:00:27:00","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"12","","","","C","","00:00:27:02","00:00:27:07","00:00:00:05","00:00:27:02","00:00:27:07","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"13","","","","C","","00:00:27:09","00:00:27:14","00:00:00:05","00:00:27:09","00:00:27:14","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"14","","","","C","","00:00:27:15","00:00:28:03","00:00:00:12","00:00:27:15","00:00:28:03","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"15","","","","C","","00:00:28:04","00:00:28:11","00:00:00:07","00:00:28:04","00:00:28:11","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"16","","","","C","","00:00:28:12","00:00:28:22","00:00:00:10","00:00:28:12","00:00:28:22","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"17","","","","C","","00:00:29:00","00:00:29:19","00:00:00:19","00:00:29:00","00:00:29:19","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"18","","","","C","","00:00:29:22","00:00:30:22","00:00:01:00","00:00:29:22","00:00:30:22","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"19","","","","C","","00:00:31:01","00:00:31:13","00:00:00:12","00:00:31:01","00:00:31:13","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"20","","","","C","","00:00:31:15","00:00:33:05","00:00:01:14","00:00:31:15","00:00:33:05","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"21","","","","C","","00:00:33:09","00:00:34:22","00:00:01:13","00:00:33:09","00:00:34:22","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"22","","","","C","","00:00:37:19","00:00:39:01","00:00:01:06","00:00:37:19","00:00:39:01","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"23","","","","C","","00:00:39:06","00:00:39:12","00:00:00:06","00:00:39:06","00:00:39:12","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"24","","","","C","","00:00:39:13","00:00:42:11","00:00:02:22","00:00:39:13","00:00:42:11","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"25","","","","C","","00:00:44:05","00:00:45:22","00:00:01:17","00:00:44:05","00:00:45:22","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"26","","","","C","","00:00:49:23","00:00:51:02","00:00:01:03","00:00:49:23","00:00:51:02","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
