"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:01:12","00:00:01:18","00:00:00:06","00:00:01:12","00:00:01:18","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"2","","","","C","","00:00:01:18","00:00:02:14","00:00:00:20","00:00:01:18","00:00:02:14","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"3","","","","C","","00:00:02:19","00:00:03:10","00:00:00:15","00:00:02:19","00:00:03:10","","","","","","","0.000","","Blue","Ερμής","",""
"4","","","","C","","00:00:03:12","00:00:04:11","00:00:00:23","00:00:03:12","00:00:04:11","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"5","","","","C","","00:00:04:13","00:00:05:06","00:00:00:17","00:00:04:13","00:00:05:06","","","","","","","0.000","","Blue","Ερμής","",""
"6","","","","C","","00:00:05:08","00:00:06:21","00:00:01:13","00:00:05:08","00:00:06:21","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"7","","","","C","","00:00:07:03","00:00:07:12","00:00:00:09","00:00:07:03","00:00:07:12","","","","","","","0.000","","Blue","Ερμής","",""
"8","","","","C","","00:00:07:18","00:00:08:06","00:00:00:12","00:00:07:18","00:00:08:06","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"9","","","","C","","00:00:08:12","00:00:08:15","00:00:00:03","00:00:08:12","00:00:08:15","","","","","","","0.000","","Blue","Ερμής","",""
"10","","","","C","","00:00:08:17","00:00:09:03","00:00:00:10","00:00:08:17","00:00:09:03","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"11","","","","C","","00:00:09:06","00:00:09:19","00:00:00:13","00:00:09:06","00:00:09:19","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"12","","","","C","","00:00:10:01","00:00:10:19","00:00:00:18","00:00:10:01","00:00:10:19","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"13","","","","C","","00:00:10:23","00:00:11:21","00:00:00:22","00:00:10:23","00:00:11:21","","","","","","","0.000","","Blue","Ερμής","",""
"14","","","","C","","00:00:12:00","00:00:13:13","00:00:01:13","00:00:12:00","00:00:13:13","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"15","","","","C","","00:00:13:20","00:00:15:02","00:00:01:06","00:00:13:20","00:00:15:02","","","","","","","0.000","","Blue","Ερμής","",""
"16","","","","C","","00:00:15:05","00:00:19:00","00:00:03:19","00:00:15:05","00:00:19:00","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"17","","","","C","","00:00:19:02","00:00:20:12","00:00:01:10","00:00:19:02","00:00:20:12","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"18","","","","C","","00:00:20:15","00:00:21:08","00:00:00:17","00:00:20:15","00:00:21:08","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"19","","","","C","","00:00:24:09","00:00:25:00","00:00:00:15","00:00:24:09","00:00:25:00","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"20","","","","C","","00:00:25:06","00:00:26:03","00:00:00:21","00:00:25:06","00:00:26:03","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"21","","","","C","","00:00:26:12","00:00:29:17","00:00:03:05","00:00:26:12","00:00:29:17","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"22","","","","C","","00:00:29:23","00:00:35:13","00:00:05:14","00:00:29:23","00:00:35:13","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"23","","","","C","","00:00:35:16","00:00:35:20","00:00:00:04","00:00:35:16","00:00:35:20","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
