"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:04:06","00:00:05:06","00:00:01:00","00:00:04:06","00:00:05:06","","","","","","","0.000","","Blue","Πάνω δεξιά γωνία","",""
"2","","","","C","","00:00:06:17","00:00:06:19","00:00:00:02","00:00:06:17","00:00:06:19","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"3","","","","C","","00:00:08:03","00:00:08:04","00:00:00:01","00:00:08:03","00:00:08:04","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"4","","","","C","","00:00:09:13","00:00:09:14","00:00:00:01","00:00:09:13","00:00:09:14","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"5","","","","C","","00:00:10:17","00:00:11:02","00:00:00:09","00:00:10:17","00:00:11:02","","","","","","","0.000","","Blue","Πάνω δεξιά γωνία","",""
"6","","","","C","","00:00:16:06","00:00:16:18","00:00:00:12","00:00:16:06","00:00:16:18","","","","","","","0.000","","Blue","Πάνω δεξιά γωνία","",""
"7","","","","C","","00:00:21:22","00:00:21:23","00:00:00:01","00:00:21:22","00:00:21:23","","","","","","","0.000","","Blue","Marker 7","",""
"8","","","","C","","00:00:22:08","00:00:22:14","00:00:00:06","00:00:22:08","00:00:22:14","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"9","","","","C","","00:00:30:23","00:00:31:08","00:00:00:09","00:00:30:23","00:00:31:08","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"10","","","","C","","00:00:31:11","00:00:31:19","00:00:00:08","00:00:31:11","00:00:31:19","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"11","","","","C","","00:00:31:22","00:00:34:21","00:00:02:23","00:00:31:22","00:00:34:21","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"12","","","","C","","00:00:52:05","00:00:52:13","00:00:00:08","00:00:52:05","00:00:52:13","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
