"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:01:12","00:00:01:15","00:00:00:03","00:00:01:12","00:00:01:15","","","","","","","0.000","","Blue","Ερμής","",""
"2","","","","C","","00:00:01:26","00:00:02:13","00:00:00:17","00:00:01:26","00:00:02:13","","","","","","","0.000","","Blue","Ερμής","",""
"3","","","","C","","00:00:03:20","00:00:03:22","00:00:00:02","00:00:03:20","00:00:03:22","","","","","","","0.000","","Blue","Ερμής","",""
"4","","","","C","","00:00:04:02","00:00:04:08","00:00:00:06","00:00:04:02","00:00:04:08","","","","","","","0.000","","Blue","Ερμής","",""
"5","","","","C","","00:00:06:00","00:00:06:17","00:00:00:17","00:00:06:00","00:00:06:17","","","","","","","0.000","","Blue","Ερμής","",""
"6","","","","C","","00:00:06:22","00:00:06:28","00:00:00:06","00:00:06:22","00:00:06:28","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"7","","","","C","","00:00:07:01","00:00:08:02","00:00:01:01","00:00:07:01","00:00:08:02","","","","","","","0.000","","Blue","Ερμής","",""
"8","","","","C","","00:00:08:18","00:00:10:12","00:00:01:24","00:00:08:18","00:00:10:12","","","","","","","0.000","","Blue","Ερμής","",""
"9","","","","C","","00:00:10:17","00:00:10:21","00:00:00:04","00:00:10:17","00:00:10:21","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"10","","","","C","","00:00:10:24","00:00:10:28","00:00:00:04","00:00:10:24","00:00:10:28","","","","","","","0.000","","Blue","Ερμής","",""
"11","","","","C","","00:00:11:26","00:00:13:13","00:00:01:17","00:00:11:26","00:00:13:13","","","","","","","0.000","","Blue","Ερμής","",""
"12","","","","C","","00:00:13:27","00:00:14:01","00:00:00:04","00:00:13:27","00:00:14:01","","","","","","","0.000","","Blue","Ερμής","",""
"13","","","","C","","00:00:14:05","00:00:14:13","00:00:00:08","00:00:14:05","00:00:14:13","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"14","","","","C","","00:00:14:16","00:00:15:10","00:00:00:24","00:00:14:16","00:00:15:10","","","","","","","0.000","","Blue","Ερμής","",""
"15","","","","C","","00:00:16:19","00:00:17:00","00:00:00:11","00:00:16:19","00:00:17:00","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"16","","","","C","","00:00:17:02","00:00:17:09","00:00:00:07","00:00:17:02","00:00:17:09","","","","","","","0.000","","Blue","Ερμής","",""
"17","","","","C","","00:00:17:28","00:00:20:19","00:00:02:21","00:00:17:28","00:00:20:19","","","","","","","0.000","","Blue","Ερμής","",""
"18","","","","C","","00:00:21:00","00:00:21:13","00:00:00:13","00:00:21:00","00:00:21:13","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"19","","","","C","","00:00:21:18","00:00:24:09","00:00:02:21","00:00:21:18","00:00:24:09","","","","","","","0.000","","Blue","Ερμής","",""
"20","","","","C","","00:00:24:11","00:00:24:24","00:00:00:13","00:00:24:11","00:00:24:24","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"21","","","","C","","00:00:24:27","00:00:33:01","00:00:08:04","00:00:24:27","00:00:33:01","","","","","","","0.000","","Blue","Ερμής","",""
"22","","","","C","","00:00:33:07","00:00:40:21","00:00:07:14","00:00:33:07","00:00:40:21","","","","","","","0.000","","Blue","Ερμής","",""
"23","","","","C","","00:00:40:25","00:00:42:01","00:00:01:06","00:00:40:25","00:00:42:01","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
