"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:29","00:00:02:13","00:00:01:14","00:00:00:29","00:00:02:13","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"2","","","","C","","00:00:02:18","00:00:03:16","00:00:00:28","00:00:02:18","00:00:03:16","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"3","","","","C","","00:00:03:24","00:00:03:29","00:00:00:05","00:00:03:24","00:00:03:29","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"4","","","","C","","00:00:04:01","00:00:10:18","00:00:06:17","00:00:04:01","00:00:10:18","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"5","","","","C","","00:00:10:24","00:00:11:15","00:00:00:21","00:00:10:24","00:00:11:15","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"6","","","","C","","00:00:11:18","00:00:12:20","00:00:01:02","00:00:11:18","00:00:12:20","","","","","","","0.000","","Blue","Πάνω δεξιά γωνία","",""
"7","","","","C","","00:00:12:28","00:00:13:19","00:00:00:21","00:00:12:28","00:00:13:19","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"8","","","","C","","00:00:13:25","00:00:14:13","00:00:00:18","00:00:13:25","00:00:14:13","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"9","","","","C","","00:00:14:15","00:00:17:15","00:00:03:00","00:00:14:15","00:00:17:15","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"10","","","","C","","00:00:17:15","00:00:18:25","00:00:01:10","00:00:17:15","00:00:18:25","","","","","","","0.000","","Blue","Πάνω δεξιά γωνία","",""
"11","","","","C","","00:00:19:03","00:00:24:28","00:00:05:25","00:00:19:03","00:00:24:28","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"12","","","","C","","00:00:25:02","00:00:27:15","00:00:02:13","00:00:25:02","00:00:27:15","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"13","","","","C","","00:00:27:17","00:00:31:28","00:00:04:11","00:00:27:17","00:00:31:28","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"14","","","","C","","00:00:32:01","00:01:06:09","00:00:34:08","00:00:32:01","00:01:06:09","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
