"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:29","00:00:01:07","00:00:00:08","00:00:00:29","00:00:01:07","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"2","","","","C","","00:00:01:10","00:00:02:10","00:00:01:00","00:00:01:10","00:00:02:10","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"3","","","","C","","00:00:02:14","00:00:04:08","00:00:01:24","00:00:02:14","00:00:04:08","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"4","","","","C","","00:00:04:29","00:00:05:27","00:00:00:28","00:00:04:29","00:00:05:27","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"5","","","","C","","00:00:07:28","00:00:08:20","00:00:00:22","00:00:07:28","00:00:08:20","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"6","","","","C","","00:00:08:22","00:00:09:06","00:00:00:14","00:00:08:22","00:00:09:06","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"7","","","","C","","00:00:09:09","00:00:09:16","00:00:00:07","00:00:09:09","00:00:09:16","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"8","","","","C","","00:00:09:15","00:00:10:19","00:00:01:04","00:00:09:15","00:00:10:19","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"9","","","","C","","00:00:10:26","00:00:16:06","00:00:05:10","00:00:10:26","00:00:16:06","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"10","","","","C","","00:00:20:16","00:00:21:14","00:00:00:28","00:00:20:16","00:00:21:14","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"11","","","","C","","00:00:26:28","00:00:27:03","00:00:00:05","00:00:26:28","00:00:27:03","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"12","","","","C","","00:00:35:28","00:00:35:29","00:00:00:01","00:00:35:28","00:00:35:29","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"13","","","","C","","00:00:36:12","00:00:37:11","00:00:00:29","00:00:36:12","00:00:37:11","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"14","","","","C","","00:00:39:22","00:00:39:27","00:00:00:05","00:00:39:22","00:00:39:27","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"15","","","","C","","00:00:40:22","00:00:40:26","00:00:00:04","00:00:40:22","00:00:40:26","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"16","","","","C","","00:00:41:04","00:00:41:21","00:00:00:17","00:00:41:04","00:00:41:21","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"17","","","","C","","00:00:42:19","00:00:42:25","00:00:00:06","00:00:42:19","00:00:42:25","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"18","","","","C","","00:00:43:10","00:00:43:14","00:00:00:04","00:00:43:10","00:00:43:14","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"19","","","","C","","00:00:43:20","00:00:43:21","00:00:00:01","00:00:43:20","00:00:43:21","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"20","","","","C","","00:00:43:24","00:00:44:15","00:00:00:21","00:00:43:24","00:00:44:15","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"21","","","","C","","00:00:46:28","00:00:48:24","00:00:01:26","00:00:46:28","00:00:48:24","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"22","","","","C","","00:00:48:26","00:00:49:06","00:00:00:10","00:00:48:26","00:00:49:06","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"23","","","","C","","00:00:49:09","00:00:50:06","00:00:00:27","00:00:49:09","00:00:50:06","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"24","","","","C","","00:00:50:17","00:00:51:11","00:00:00:24","00:00:50:17","00:00:51:11","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"25","","","","C","","00:00:52:09","00:00:52:10","00:00:00:01","00:00:52:09","00:00:52:10","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"26","","","","C","","00:00:53:09","00:00:53:11","00:00:00:02","00:00:53:09","00:00:53:11","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"27","","","","C","","00:00:53:23","00:00:53:29","00:00:00:06","00:00:53:23","00:00:53:29","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"28","","","","C","","00:00:54:19","00:00:55:09","00:00:00:20","00:00:54:19","00:00:55:09","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"29","","","","C","","00:00:55:14","00:00:55:17","00:00:00:03","00:00:55:14","00:00:55:17","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"30","","","","C","","00:00:55:20","00:00:55:26","00:00:00:06","00:00:55:20","00:00:55:26","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"31","","","","C","","00:00:56:03","00:00:56:08","00:00:00:05","00:00:56:03","00:00:56:08","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"32","","","","C","","00:00:56:08","00:00:57:11","00:00:01:03","00:00:56:08","00:00:57:11","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"33","","","","C","","00:01:01:24","00:01:02:20","00:00:00:26","00:01:01:24","00:01:02:20","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"34","","","","C","","00:01:03:03","00:01:03:07","00:00:00:04","00:01:03:03","00:01:03:07","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
