"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:02:08","00:00:03:14","00:00:01:06","00:00:02:08","00:00:03:14","","","","","","","0.000","","Blue","Πάνω δεξιά γωνία","",""
"2","","","","C","","00:00:05:01","00:00:05:02","00:00:00:01","00:00:05:01","00:00:05:02","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"3","","","","C","","00:00:05:22","00:00:05:23","00:00:00:01","00:00:05:22","00:00:05:23","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"4","","","","C","","00:00:07:05","00:00:07:19","00:00:00:14","00:00:07:05","00:00:07:19","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"5","","","","C","","00:00:08:05","00:00:09:00","00:00:00:19","00:00:08:05","00:00:09:00","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"6","","","","C","","00:00:10:16","00:00:11:10","00:00:00:18","00:00:10:16","00:00:11:10","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"7","","","","C","","00:00:11:16","00:00:11:20","00:00:00:04","00:00:11:16","00:00:11:20","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"8","","","","C","","00:00:12:07","00:00:12:12","00:00:00:05","00:00:12:07","00:00:12:12","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"9","","","","C","","00:00:14:05","00:00:15:08","00:00:01:03","00:00:14:05","00:00:15:08","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"10","","","","C","","00:00:17:22","00:00:17:23","00:00:00:01","00:00:17:22","00:00:17:23","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"11","","","","C","","00:00:18:09","00:00:18:12","00:00:00:03","00:00:18:09","00:00:18:12","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"12","","","","C","","00:00:19:06","00:00:19:15","00:00:00:09","00:00:19:06","00:00:19:15","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"13","","","","C","","00:00:21:23","00:00:22:00","00:00:00:01","00:00:21:23","00:00:22:00","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"14","","","","C","","00:00:27:00","00:00:32:05","00:00:05:05","00:00:27:00","00:00:32:05","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"15","","","","C","","00:00:34:00","00:00:35:02","00:00:01:02","00:00:34:00","00:00:35:02","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"16","","","","C","","00:00:38:00","00:00:38:12","00:00:00:12","00:00:38:00","00:00:38:12","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"17","","","","C","","00:00:39:11","00:00:39:14","00:00:00:03","00:00:39:11","00:00:39:14","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"18","","","","C","","00:00:40:04","00:00:40:05","00:00:00:01","00:00:40:04","00:00:40:05","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"19","","","","C","","00:00:40:17","00:00:40:18","00:00:00:01","00:00:40:17","00:00:40:18","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"20","","","","C","","00:00:41:00","00:00:41:12","00:00:00:12","00:00:41:00","00:00:41:12","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"21","","","","C","","00:00:41:23","00:00:42:00","00:00:00:01","00:00:41:23","00:00:42:00","","","","","","","0.000","","Blue","Πάνω δεξιά γωνία","",""
"22","","","","C","","00:00:43:01","00:00:48:09","00:00:05:08","00:00:43:01","00:00:48:09","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"23","","","","C","","00:00:51:19","00:00:52:08","00:00:00:13","00:00:51:19","00:00:52:08","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"24","","","","C","","00:00:52:14","00:00:52:15","00:00:00:01","00:00:52:14","00:00:52:15","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"25","","","","C","","00:00:54:23","00:00:55:00","00:00:00:01","00:00:54:23","00:00:55:00","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"26","","","","C","","00:00:55:13","00:00:56:04","00:00:00:15","00:00:55:13","00:00:56:04","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"27","","","","C","","00:00:57:14","00:00:57:21","00:00:00:07","00:00:57:14","00:00:57:21","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"28","","","","C","","00:00:58:07","00:00:59:11","00:00:01:04","00:00:58:07","00:00:59:11","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"29","","","","C","","00:01:00:14","00:01:00:15","00:00:00:01","00:01:00:14","00:01:00:15","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
