"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:09","00:00:01:00","00:00:00:15","00:00:00:09","00:00:01:00","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"2","","","","C","","00:00:01:10","00:00:01:16","00:00:00:06","00:00:01:10","00:00:01:16","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"3","","","","C","","00:00:02:21","00:00:06:04","00:00:03:07","00:00:02:21","00:00:06:04","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"4","","","","C","","00:00:08:09","00:00:10:13","00:00:02:04","00:00:08:09","00:00:10:13","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"5","","","","C","","00:00:11:11","00:00:12:07","00:00:00:20","00:00:11:11","00:00:12:07","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"6","","","","C","","00:00:12:21","00:00:17:21","00:00:05:00","00:00:12:21","00:00:17:21","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"7","","","","C","","00:00:20:03","00:00:21:16","00:00:01:13","00:00:20:03","00:00:21:16","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"8","","","","C","","00:00:22:10","00:00:23:11","00:00:01:01","00:00:22:10","00:00:23:11","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"9","","","","C","","00:00:24:02","00:00:24:05","00:00:00:03","00:00:24:02","00:00:24:05","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"10","","","","C","","00:00:25:09","00:00:26:00","00:00:00:15","00:00:25:09","00:00:26:00","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"11","","","","C","","00:00:26:11","00:00:26:12","00:00:00:01","00:00:26:11","00:00:26:12","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"12","","","","C","","00:00:27:06","00:00:27:09","00:00:00:03","00:00:27:06","00:00:27:09","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"13","","","","C","","00:00:34:14","00:00:35:10","00:00:00:20","00:00:34:14","00:00:35:10","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"14","","","","C","","00:00:39:16","00:00:40:14","00:00:00:22","00:00:39:16","00:00:40:14","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"15","","","","C","","00:00:40:19","00:00:41:11","00:00:00:16","00:00:40:19","00:00:41:11","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"16","","","","C","","00:00:44:05","00:00:44:17","00:00:00:12","00:00:44:05","00:00:44:17","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"17","","","","C","","00:00:46:10","00:00:47:07","00:00:00:21","00:00:46:10","00:00:47:07","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"18","","","","C","","00:00:49:14","00:00:49:23","00:00:00:09","00:00:49:14","00:00:49:23","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"19","","","","C","","00:00:50:06","00:00:50:12","00:00:00:06","00:00:50:06","00:00:50:12","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"20","","","","C","","00:00:50:16","00:00:51:07","00:00:00:15","00:00:50:16","00:00:51:07","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"21","","","","C","","00:00:52:04","00:00:52:05","00:00:00:01","00:00:52:04","00:00:52:05","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"22","","","","C","","00:00:53:04","00:00:53:19","00:00:00:15","00:00:53:04","00:00:53:19","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"23","","","","C","","00:00:54:12","00:00:54:13","00:00:00:01","00:00:54:12","00:00:54:13","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"24","","","","C","","00:00:55:23","00:00:58:00","00:00:02:01","00:00:55:23","00:00:58:00","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"25","","","","C","","00:01:00:16","00:01:00:19","00:00:00:03","00:01:00:16","00:01:00:19","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"26","","","","C","","00:01:02:01","00:01:02:15","00:00:00:14","00:01:02:01","00:01:02:15","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"27","","","","C","","00:01:04:07","00:01:05:23","00:00:01:16","00:01:04:07","00:01:05:23","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
