"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:15","00:00:00:26","00:00:00:11","00:00:00:15","00:00:00:26","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"2","","","","C","","00:00:00:29","00:00:01:17","00:00:00:18","00:00:00:29","00:00:01:17","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"3","","","","C","","00:00:01:21","00:00:02:18","00:00:00:27","00:00:01:21","00:00:02:18","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"4","","","","C","","00:00:02:24","00:00:03:23","00:00:00:29","00:00:02:24","00:00:03:23","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"5","","","","C","","00:00:03:27","00:00:04:26","00:00:00:29","00:00:03:27","00:00:04:26","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"6","","","","C","","00:00:05:06","00:00:05:13","00:00:00:07","00:00:05:06","00:00:05:13","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"7","","","","C","","00:00:05:17","00:00:07:16","00:00:01:29","00:00:05:17","00:00:07:16","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"8","","","","C","","00:00:08:03","00:00:08:15","00:00:00:12","00:00:08:03","00:00:08:15","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"9","","","","C","","00:00:09:01","00:00:09:12","00:00:00:11","00:00:09:01","00:00:09:12","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"10","","","","C","","00:00:10:13","00:00:11:18","00:00:01:05","00:00:10:13","00:00:11:18","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"11","","","","C","","00:00:12:12","00:00:13:00","00:00:00:18","00:00:12:12","00:00:13:00","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"12","","","","C","","00:00:13:02","00:00:13:20","00:00:00:18","00:00:13:02","00:00:13:20","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"13","","","","C","","00:00:14:22","00:00:17:21","00:00:02:29","00:00:14:22","00:00:17:21","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"14","","","","C","","00:00:18:08","00:00:18:22","00:00:00:14","00:00:18:08","00:00:18:22","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"15","","","","C","","00:00:19:10","00:00:19:20","00:00:00:10","00:00:19:10","00:00:19:20","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"16","","","","C","","00:00:20:05","00:00:20:23","00:00:00:18","00:00:20:05","00:00:20:23","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"17","","","","C","","00:00:22:09","00:00:27:18","00:00:05:09","00:00:22:09","00:00:27:18","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"18","","","","C","","00:00:27:20","00:00:28:03","00:00:00:13","00:00:27:20","00:00:28:03","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"19","","","","C","","00:00:28:05","00:00:31:03","00:00:02:28","00:00:28:05","00:00:31:03","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"20","","","","C","","00:00:31:15","00:00:32:26","00:00:01:11","00:00:31:15","00:00:32:26","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"21","","","","C","","00:00:35:24","00:00:58:00","00:00:22:06","00:00:35:24","00:00:58:00","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"22","","","","C","","00:00:58:04","00:01:02:04","00:00:04:00","00:00:58:04","00:01:02:04","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
