"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:01:10","00:00:01:17","00:00:00:07","00:00:01:10","00:00:01:17","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"2","","","","C","","00:00:02:15","00:00:03:01","00:00:00:04","00:00:02:15","00:00:03:01","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"3","","","","C","","00:00:03:04","00:00:03:07","00:00:00:03","00:00:03:04","00:00:03:07","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"4","","","","C","","00:00:03:07","00:00:03:14","00:00:00:07","00:00:03:07","00:00:03:14","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"5","","","","C","","00:00:05:11","00:00:06:03","00:00:00:10","00:00:05:11","00:00:06:03","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"6","","","","C","","00:00:08:06","00:00:08:15","00:00:00:09","00:00:08:06","00:00:08:15","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"7","","","","C","","00:00:13:07","00:00:15:14","00:00:02:07","00:00:13:07","00:00:15:14","","","","","","","0.000","","Blue","Marker 7","",""
"8","","","","C","","00:00:16:00","00:00:16:02","00:00:00:02","00:00:16:00","00:00:16:02","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"9","","","","C","","00:00:16:03","00:00:18:01","00:00:01:16","00:00:16:03","00:00:18:01","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"10","","","","C","","00:00:18:02","00:00:18:08","00:00:00:06","00:00:18:02","00:00:18:08","","","","","","","0.000","","Blue","Ερμής","",""
"11","","","","C","","00:00:19:01","00:00:21:16","00:00:02:15","00:00:19:01","00:00:21:16","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"12","","","","C","","00:00:22:03","00:00:22:09","00:00:00:06","00:00:22:03","00:00:22:09","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"13","","","","C","","00:00:22:16","00:00:23:10","00:00:00:12","00:00:22:16","00:00:23:10","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"14","","","","C","","00:00:23:11","00:00:24:16","00:00:01:05","00:00:23:11","00:00:24:16","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"15","","","","C","","00:00:26:07","00:00:28:06","00:00:01:17","00:00:26:07","00:00:28:06","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"16","","","","C","","00:00:28:17","00:00:29:05","00:00:00:06","00:00:28:17","00:00:29:05","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"17","","","","C","","00:00:29:15","00:00:31:00","00:00:01:03","00:00:29:15","00:00:31:00","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"18","","","","C","","00:00:33:17","00:00:34:17","00:00:01:00","00:00:33:17","00:00:34:17","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"19","","","","C","","00:00:35:12","00:00:38:01","00:00:02:07","00:00:35:12","00:00:38:01","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
