"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:08:10","00:00:10:10","00:00:02:00","00:00:08:10","00:00:10:10","","","","","","","0.000","","Blue","Στήλη","",""
"2","","","","C","","00:00:10:12","00:00:14:03","00:00:03:15","00:00:10:12","00:00:14:03","","","","","","","0.000","","Blue","Αέτωμα","",""
"3","","","","C","","00:00:16:10","00:00:17:14","00:00:01:04","00:00:16:10","00:00:17:14","","","","","","","0.000","","Blue","Πάνω δεξιά γωνία","",""
"4","","","","C","","00:00:17:16","00:00:19:03","00:00:01:11","00:00:17:16","00:00:19:03","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"5","","","","C","","00:00:25:15","00:00:35:07","00:00:09:16","00:00:25:15","00:00:35:07","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"6","","","","C","","00:00:35:17","00:00:42:09","00:00:06:16","00:00:35:17","00:00:42:09","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"7","","","","C","","00:00:42:16","00:00:52:01","00:00:09:09","00:00:42:16","00:00:52:01","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
