"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:22","00:00:01:05","00:00:00:07","00:00:00:22","00:00:01:05","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"2","","","","C","","00:00:01:08","00:00:01:13","00:00:00:05","00:00:01:08","00:00:01:13","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"3","","","","C","","00:00:01:15","00:00:01:20","00:00:00:05","00:00:01:15","00:00:01:20","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"4","","","","C","","00:00:02:06","00:00:02:22","00:00:00:16","00:00:02:06","00:00:02:22","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"5","","","","C","","00:00:03:06","00:00:05:09","00:00:02:03","00:00:03:06","00:00:05:09","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"6","","","","C","","00:00:06:05","00:00:10:21","00:00:04:16","00:00:06:05","00:00:10:21","","","","","","","0.000","","Blue","Marker 6","",""
"7","","","","C","","00:00:11:09","00:00:13:04","00:00:01:19","00:00:11:09","00:00:13:04","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"8","","","","C","","00:00:14:01","00:00:15:16","00:00:01:15","00:00:14:01","00:00:15:16","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"9","","","","C","","00:00:15:20","00:00:16:01","00:00:00:05","00:00:15:20","00:00:16:01","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"10","","","","C","","00:00:16:02","00:00:16:11","00:00:00:09","00:00:16:02","00:00:16:11","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"11","","","","C","","00:00:16:12","00:00:17:12","00:00:01:00","00:00:16:12","00:00:17:12","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"12","","","","C","","00:00:17:13","00:00:19:02","00:00:01:13","00:00:17:13","00:00:19:02","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"13","","","","C","","00:00:19:11","00:00:19:12","00:00:00:01","00:00:19:11","00:00:19:12","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"14","","","","C","","00:00:19:16","00:00:20:07","00:00:00:15","00:00:19:16","00:00:20:07","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"15","","","","C","","00:00:20:08","00:00:21:11","00:00:01:03","00:00:20:08","00:00:21:11","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"16","","","","C","","00:00:21:16","00:00:22:07","00:00:00:15","00:00:21:16","00:00:22:07","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"17","","","","C","","00:00:22:08","00:00:24:11","00:00:02:03","00:00:22:08","00:00:24:11","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"18","","","","C","","00:00:24:13","00:00:24:19","00:00:00:06","00:00:24:13","00:00:24:19","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"19","","","","C","","00:00:24:21","00:00:25:20","00:00:00:23","00:00:24:21","00:00:25:20","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"20","","","","C","","00:00:36:05","00:00:36:06","00:00:00:01","00:00:36:05","00:00:36:06","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"21","","","","C","","00:00:36:10","00:00:39:04","00:00:02:18","00:00:36:10","00:00:39:04","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"22","","","","C","","00:00:39:13","00:00:40:09","00:00:00:20","00:00:39:13","00:00:40:09","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"23","","","","C","","00:00:40:10","00:00:41:07","00:00:00:21","00:00:40:10","00:00:41:07","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"24","","","","C","","00:00:41:17","00:00:42:09","00:00:00:16","00:00:41:17","00:00:42:09","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"25","","","","C","","00:00:43:07","00:00:43:13","00:00:00:06","00:00:43:07","00:00:43:13","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"26","","","","C","","00:00:45:12","00:00:50:14","00:00:05:02","00:00:45:12","00:00:50:14","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"27","","","","C","","00:00:50:22","00:00:51:08","00:00:00:10","00:00:50:22","00:00:51:08","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"28","","","","C","","00:00:51:12","00:00:51:17","00:00:00:05","00:00:51:12","00:00:51:17","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"29","","","","C","","00:00:51:18","00:00:54:02","00:00:02:08","00:00:51:18","00:00:54:02","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"30","","","","C","","00:00:54:05","00:00:54:14","00:00:00:09","00:00:54:05","00:00:54:14","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"31","","","","C","","00:00:54:19","00:00:56:18","00:00:01:23","00:00:54:19","00:00:56:18","","","","","","","0.000","","Blue","Marker 31","",""
"32","","","","C","","00:00:56:17","00:00:56:20","00:00:00:03","00:00:56:17","00:00:56:20","","","","","","","0.000","","Blue","Κάτω αριστερή γωνία","",""
"33","","","","C","","00:00:57:02","00:00:57:10","00:00:00:08","00:00:57:02","00:00:57:10","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"34","","","","C","","00:00:57:13","00:00:58:12","00:00:00:23","00:00:57:13","00:00:58:12","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"35","","","","C","","00:00:58:14","00:00:59:08","00:00:00:18","00:00:58:14","00:00:59:08","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"36","","","","C","","00:00:59:12","00:01:00:23","00:00:01:11","00:00:59:12","00:01:00:23","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
